make,model,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,drivetrain,vehicle_age
22,100,-0.4844655084986212,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",-1.3873072131971909,4,-0.12827896256593302,32,SL,6,4.0,0,-0.28135375487034925
7,61,-0.2929141038878352,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.12426786815210669,9,R/T,6,4.0,0,-0.28135375487034925
15,58,-0.04021775938716552,OHV,0.8344538325517469,4,-0.11825122653136719,19,Limited,6,4.0,1,-0.28135375487034925
15,23,-1.1511076849971758,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11624567932445402,19,Latitude,6,4.0,1,-0.28135375487034925
21,30,1.4286135621268983,c,-0.646720197947545,3,0.617784598405765,1,Base,7,4.0,3,-0.28135375487034925
3,41,-0.9917520673195587,12V GDI DOHC Turbo,-1.3873072131971909,4,-0.11825122653136719,9,Avenir,6,4.0,2,-0.28135375487034925
7,29,-0.32321602100140584,24V MPFI DOHC,0.8344538325517469,4,-0.11022903770371452,19,GT,6,4.0,3,-0.28135375487034925
12,115,-1.172264916410401,16V PDI DOHC,-0.646720197947545,4,-0.13429560418667252,19,SEL,7,4.0,0,-0.28135375487034925
23,2,0.4759970428690205,24V DDI OHV Turbo Diesel,0.8344538325517469,0,-0.10822349049680136,9,Tradesman,5,4.0,1,-0.28135375487034925
9,126,-0.8060987144326641,16V GDI DOHC Turbo,-0.646720197947545,4,-0.13429560418667252,28,SLT,6,4.0,0,-0.28135375487034925
15,139,0.5639267130646497,24V GDI DOHC Twin Turbo,0.8344538325517469,4,-0.12426786815210669,19,Base,6,4.0,3,-0.28135375487034925
8,99,-0.6164952902077505,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11825122653136719,3,XL,5,4.0,1,-0.28135375487034925
1,102,-2.7127386276715497,oled Turbo Premium Unleaded V-6 3.0 L/183,0.8344538325517469,4,-0.10621794328988819,32,Premium Plus,6,4.0,0,-0.28135375487034925
23,2,0.8766316755634441,"High Output 6.7L I-6 diesel direct injection, VVT interc",0.8344538325517469,0,-0.12226232094519353,32,Tradesman Crew Cab 4x4 8&#39; Box,5,4.0,1,-0.28135375487034925
